ID_Docu,Date_Docu,Hyperlink_Docu,File_Name_1,Description_Docu,Remarks_Docu,Link Investor ID (Source_Name_1),Date entered_Docu,LastModified_Docu,UpdatedBy_Docu,xx Link Investee ID (Source_Name_2)
76,"03/30/21 00:00:00","https://mp.weixin.qq.com/s?src=11&timestamp=1634889351&ver=3389&signature=wBewNvT4g455h36bhTOq*F9Ke5aA*DDSHJPnO1Pq94MC9aSVlXeh62NTfKlv2lBoxQVNZBonK9K2z6OovWeV3w4fngUnHI7BwcqRMiu3reAC3BaG0y9zwM2anDawF7p9&new=1","0000000076",,,17335,"10/22/21 00:00:00","10/22/21 16:48:06","atsai",
79,"09/06/21 00:00:00","https://mp.weixin.qq.com/s?src=11&timestamp=1635123909&ver=3395&signature=jvUo4W80r73c46-XhXKgRLoskGign9NtrEZF8aET1fdV8Fg29b5vAf6iW8sT-tRuhSsgcyLP1-1ZZxzV1KwzPDqugOAoAXlFwm3GS*1nTrxNcAmn3OocgI1myQP9cV*B&new=1","0000000079",,,17335,"10/25/21 00:00:00","10/25/21 09:03:43","atsai",
210,"11/02/21 00:00:00","https://www.permira.com/media-centre/news/bpea-agrees-to-acquire-tricor-from-permira/","0000000210.pdf","Buyout (Pending)",,1677,"11/02/21 00:00:00","11/02/21 18:43:01","hlo",
211,"11/02/21 00:00:00","https://en.prnasia.com/releases/apac/bpea-agrees-to-acquire-tricor-from-permira-338968.shtml","0000000211.pdf","Buyout (Pending)",,17519,"11/02/21 00:00:00","11/02/21 18:42:52","hlo",
214,"05/31/18 00:00:00","https://token.im/about?locale=en-us
https://36kr.com/p/1722559447041","0000000214.pdf",,"Series A",17523,"11/03/21 00:00:00","11/03/21 10:04:22","atsai",
215,"03/31/21 00:00:00","https://www.qimingvc.com/cn/news/%E5%90%AF%E6%98%8E%E6%98%9F-imtoken%E5%AE%8C%E6%88%90b%E8%BD%AE3000%E4%B8%87%E7%BE%8E%E5%85%83%E8%9E%8D%E8%B5%84%EF%BC%8C%E5%90%AF%E6%98%8E%E5%88%9B%E6%8A%95%E9%A2%86%E6%8A%95","0000000215.pdf",,"Series B",1693,"11/03/21 00:00:00","11/03/21 10:07:27","atsai",
220,"04/08/21 00:00:00","https://mp.weixin.qq.com/s?src=11&timestamp=1635907787&ver=3413&signature=J7XPY8YtHb*Ho-UCSAiEDt-iKR7LMwmmqQfChwy7wf5OUmmgLib-dtydu-cH6hqN5KEvY4hUo4qtclhN7F89NPVUlKXC6hKVIUDilad2J8Jc2xz7a7RCBFp45NP*ZNqZ&new=1","0000000220.pdf",,"Series A & Series A+",4114,"11/03/21 00:00:00","11/03/21 11:04:14","atsai",
221,"04/18/21 00:00:00","https://www.accutarbio.com/accutar-biotech-announces-closing-of-latest-financing-round/","0000000221",,"Strategic investment",17531,"11/03/21 00:00:00","11/03/21 11:41:31","atsai",
223,"12/07/20 00:00:00","https://mp.weixin.qq.com/s?src=11&timestamp=1635912977&ver=3413&signature=WiCzq3JwLNeX3Dvk9RQFKwAV3Zru*va68SxJ7pUJPjF83G3QJiUH6f6uz-ZNDJURtACBt-rxZEZdgfhk*YBsS3HG*Sn8tFn1SK8HeG3gjt68gUGn0MSNKpBPZaJnrCDR&new=1","0000000223",,"Series B",5827,"11/03/21 00:00:00","11/03/21 12:18:12","atsai",
298,"05/11/21 00:00:00","https://www.77hub.com/about
https://36kr.com/newsflashes/1219427487371909","0000000298.pdf",,"Series A",17614,"11/05/21 00:00:00","11/05/21 17:13:22","atsai",
