Institution ID,In Factiva?,Remarks,Date entered,Last updated
1134,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
883,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
328,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
563,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
268,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
125,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
181,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
161,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
162,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
1225,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
211,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
1316,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
594,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
249,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
529,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
542,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
1191,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
524,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
305,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
752,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
826,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
1167,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
58,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
686,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
939,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
890,"No (Not available)",,"01/10/08 00:00:00","01/10/08 00:00:00"
36,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
1049,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
1394,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
275,"Yes",,"01/10/08 00:00:00","01/10/08 00:00:00"
