ID_FirmInvestFocus,Link_Investor_Name_ID_fInvFoc,Date_Begin_fInvFoc,Date_End_fInvFoc,Link_fInvFoc_ID,Remarks_fInvFoc,Date entered_fInvFoc,LastModified_fInvFoc,UpdatedBy_fInvFoc
2,25653,,,,,"02/01/23 00:00:00","02/01/23 14:21:06","bfowler"
3,25663,,,11,,"02/02/23 00:00:00","02/02/23 09:54:57","bfowler"
4,26072,,,2,,"03/10/23 00:00:00","03/10/23 11:50:58","bfowler"
5,7254,,,1,,"04/04/23 00:00:00","04/04/23 15:31:02","blam"
8,2171,,,15,,"05/23/23 00:00:00","05/23/23 13:19:35","eugeniang"
9,27131,,,,,"06/27/23 00:00:00","06/27/23 16:14:08","blam"
10,27191,,,,,"06/30/23 00:00:00","06/30/23 10:19:38","vlee"
11,24773,,,1,,"08/09/23 00:00:00","08/09/23 10:57:16","blam"
12,27414,,,1,,"08/09/23 00:00:00","08/09/23 10:59:08","blam"
13,9579,,,1,,"08/09/23 00:00:00","08/09/23 11:00:32","blam"
14,27446,,,1,,"08/09/23 00:00:00","08/09/23 11:07:45","blam"
15,27456,,,1,,"08/10/23 00:00:00","08/10/23 15:21:00","blam"
16,27585,"01/01/18 00:00:00",,,,"08/25/23 00:00:00","08/25/23 14:52:48","hlo"
17,4789,,,1,,"10/06/23 00:00:00","10/06/23 10:57:25","blam"
18,22054,,,,,"11/16/23 00:00:00","11/16/23 12:57:45","bfowler"
19,29394,,,14,,"04/03/24 00:00:00","04/03/24 14:35:18","jma"
20,29864,,,1,,"05/07/24 00:00:00","05/07/24 15:55:25","rtang"
21,30200,,,8,,"06/14/24 00:00:00","06/14/24 10:59:19","jma"
22,10045,,,2,,"07/11/24 00:00:00","07/11/24 18:29:38","rtang"
23,10045,,,15,,"07/11/24 00:00:00","07/11/24 18:29:49","rtang"
24,3289,,,8,,"07/11/24 00:00:00","07/11/24 18:55:46","rtang"
25,30835,,,,,"08/15/24 00:00:00","08/15/24 18:01:43","jma"
26,30836,,,8,,"08/15/24 00:00:00","08/15/24 18:26:03","jma"
27,30896,,,10,,"08/21/24 00:00:00","08/21/24 13:32:24","jma"
28,30897,,,2,,"08/21/24 00:00:00","08/21/24 13:34:43","jma"
29,30897,,,7,,"08/21/24 00:00:00","08/21/24 13:34:48","jma"
30,31438,,,8,,"10/04/24 00:00:00","10/04/24 09:59:34","blam"
31,31443,,,,,"10/04/24 00:00:00","10/04/24 12:12:53","blam"
32,31681,,,10,,"11/08/24 00:00:00","11/08/24 10:13:57","jma"
33,23838,,,10,,"11/08/24 00:00:00","11/08/24 10:15:52","jma"
34,20150,,,8,,"12/05/24 00:00:00","12/05/24 11:47:07","rtang"
35,32230,,,,,"01/23/25 00:00:00","01/23/25 15:17:22","hlo"
36,32321,,,,,"02/05/25 00:00:00","02/05/25 15:21:00","hlo"
