ID_Firm_Location,Link_Investor_Name_ID_floc,Date_Begin_floc,Date_End_floc,Link_FirmLoc_ID,link_note_item_id_firm_locat_note,Link_Data Source ID (Firm Loca - source),Remarks_floc,Date entered_floc,LastModified_floc,UpdatedBy_floc,x Link_Geo_Focus_Type ID,x Link_investor_profile_SC_type ID
1,25357,"08/22/20 00:00:00",,23,,1,,"01/05/23 00:00:00","01/05/23 16:00:02","rtang",,
2,21507,,,23,,,,"01/05/23 00:00:00","01/05/23 16:06:00","rtang",,
3,2161,,,23,,,,"01/05/23 00:00:00","01/05/23 16:11:16","rtang",,
4,2001,,,38,,,,"01/12/23 00:00:00","02/08/23 17:16:36","atsai",,
5,2267,,,54,,,,"01/15/23 00:00:00","01/15/23 19:54:18","jkhaw",,
6,5012,,,18,,,,"01/15/23 00:00:00","01/15/23 19:56:20","jkhaw",,
7,1442,,,54,,,,"01/15/23 00:00:00","01/15/23 20:06:17","jkhaw",,
8,25493,,,54,,,,"01/19/23 00:00:00","01/19/23 16:58:14","rtang",,
9,2090,,,23,,,,"01/19/23 00:00:00","01/19/23 17:35:19","rtang",,
10,25535,,,23,,,,"01/26/23 00:00:00","01/26/23 17:43:40","rtang",,
11,3910,,,23,,,,"01/26/23 00:00:00","01/26/23 17:44:23","rtang",,
12,2621,,,23,,,,"01/26/23 00:00:00","01/26/23 17:47:17","rtang",,
13,25536,,,23,,,,"01/26/23 00:00:00","01/26/23 17:50:29","rtang",,
14,21582,,,18,,,,"01/27/23 00:00:00",,,,
15,17265,,,18,,,,"01/27/23 00:00:00",,,,
16,19086,,,18,,,,"01/27/23 00:00:00",,,,
17,23018,,,45,,,,"01/27/23 00:00:00",,,,
18,2782,,,36,,,,"01/27/23 00:00:00",,,,
19,16961,,,18,,,,"01/27/23 00:00:00",,,,
20,16786,,,18,,,,"01/27/23 00:00:00",,,,
21,17421,,,18,,,,"01/27/23 00:00:00",,,,
22,16353,,,18,,,,"01/27/23 00:00:00",,,,
23,8327,,,18,,,,"01/27/23 00:00:00",,,,
24,16471,,,18,,,,"01/27/23 00:00:00",,,,
25,18643,,,18,,,,"01/27/23 00:00:00",,,,
26,18694,,,18,,,,"01/27/23 00:00:00",,,,
27,4094,,,18,,,,"01/27/23 00:00:00",,,,
28,17266,,,18,,,,"01/27/23 00:00:00",,,,
29,19427,,,18,,,,"01/27/23 00:00:00",,,,
30,19319,,,18,,,,"01/27/23 00:00:00",,,,
31,9490,,,18,,,,"01/27/23 00:00:00",,,,
32,19581,,,45,,,,"01/27/23 00:00:00",,,,
33,23666,,,45,,,,"01/27/23 00:00:00",,,,
34,4685,,,18,,,,"01/27/23 00:00:00",,,,
35,2786,,,56,,,,"01/27/23 00:00:00",,,,
36,16581,,,18,,,,"01/27/23 00:00:00",,,,
37,16963,,,18,,,,"01/27/23 00:00:00",,,,
38,3934,,,17,,,,"01/27/23 00:00:00",,,,
39,8361,,,3,,,,"01/27/23 00:00:00",,,,
40,6356,,,18,,,,"01/27/23 00:00:00",,,,
41,17070,,,55,,,,"01/27/23 00:00:00",,,,
42,17009,,,54,,,,"01/27/23 00:00:00",,,,
43,16911,,,45,,,,"01/27/23 00:00:00",,,,
44,24096,,,54,,,,"01/27/23 00:00:00",,,,
45,16781,,,18,,,,"01/27/23 00:00:00",,,,
46,18738,,,18,,,,"01/27/23 00:00:00",,,,
47,19320,,,56,,,,"01/27/23 00:00:00",,,,
