ID_Country,Country (short form),Country (official long form),Displayed Country in Databank,Displayed Country in Divestment Record,Displayed Country Region in Databank Level 1,Ranking of Country Region in Databank,Country Region Level 2,Country Region Level 2b (for Valuation),Country Region Level 3,Currency Code,Currency Name,Currency Symbol,loc_type_calcu
1,"(Unknown) (for old record only)","(Unknown) (for old record only)","(N/A)","(N/A)",,,,"Other Markets",,,,,
2,"(Asia) (for old record only)","(Asia) (for old record only)","Asia","Asia","Asia",2,,"Other Markets",,,,,"Asia"
3,"Australia","Australia","Australia","Australia","Asia",2,"Australia / New Zealand","Australia / New Zealand","Australia / New Zealand","AUD","Dollar","$","Asia"
4,"Austria","Austria","Austria","Austria","Europe",4,"Europe (ex UK)","Other Markets","Europe (ex UK)",,,,"nonAsia"
5,"Bahrain","Bahrain","Bahrain","Bahrain","Middle East",5,"Middle East","Other Markets","Middle East",,,,"nonAsia"
6,"Bangladesh","Bangladesh","Bangladesh","Bangladesh","Asia",2,"Other Asia Markets","Other Markets","South Asia (ex India)","BDT","Bangladeshi Taka","Tk","Asia"
7,"Belgium","Belgium","Belgium","Belgium","Europe",4,"Europe (ex UK)","Other Markets","Europe (ex UK)",,,,"nonAsia"
8,"Bhutan","Bhutan","Bhutan","Bhutan","Asia",2,"Other Asia Markets","Other Markets","South Asia (ex India)",,,,"Asia"
9,"Brazil","Brazil","Brazil","Brazil","South America",7,"Others","Other Markets","Others","BRL","Real","R$","nonAsia"
10,"Bulgaria","Bulgaria","Bulgaria","Bulgaria","Europe",4,"Europe (ex UK)","Other Markets","Europe (ex UK)",,,,"nonAsia"
11,"Cambodia","Cambodia","Cambodia","Cambodia","Asia",2,"Southeast Asia","Southeast Asia","Southeast Asia","KHR","Riel","៛","Asia"
12,"Canada","Canada","Canada","Canada","North America",6,"North America","Other Markets","North America","CAD","Dollar","$","nonAsia"
13,"Denmark","Denmark","Denmark","Denmark","Europe",4,"Europe (ex UK)","Other Markets","Europe (ex UK)","DKK","Krone","kr","nonAsia"
14,"Finland","Finland","Finland","Finland","Europe",4,"Europe (ex UK)","Other Markets","Europe (ex UK)",,,,"nonAsia"
15,"France","France","France","France","Europe",4,"Europe (ex UK)","Other Markets","Europe (ex UK)",,,,"nonAsia"
16,"Germany","Germany","Germany","Germany","Europe",4,"Europe (ex UK)","Other Markets","Europe (ex UK)",,,,"nonAsia"
17,"Hong Kong","Hong Kong","China","Hong Kong","Asia",2,"China","China","China","HKD","Dollar","$","Asia"
18,"India","India","India","India","Asia",2,"India","India","South Asia (India only)","INR","Rupee","₹","Asia"
19,"Indonesia","Indonesia","Indonesia","Indonesia","Asia",2,"Southeast Asia","Southeast Asia","Southeast Asia","IDR","Rupiah","Rp","Asia"
20,"Ireland","Ireland","Ireland","Ireland","Europe",4,"Europe (ex UK)","Other Markets","Europe (ex UK)",,,,"nonAsia"
21,"Israel","Israel","Israel","Israel","Middle East",5,"Middle East","Other Markets","Middle East","ILS","Israeli shekel","₪","nonAsia"
22,"Italy","Italy","Italy","Italy","Europe",4,"Europe (ex UK)","Other Markets","Europe (ex UK)",,,,"nonAsia"
23,"Japan","Japan","Japan","Japan","Asia",2,"Japan","Japan","Japan","JPY","Yen","¥","Asia"
24,"Kazakhstan","Kazakhstan","Kazakhstan","Kazakhstan","Central Asia",3,"Others","Other Markets","Others","KZT","Tenge","лв","nonAsia"
25,"Kyrgyzstan","Kyrgyzstan","Kyrgyzstan","Kyrgyzstan","Central Asia",3,"Others","Other Markets","Others","KGS","Som","лв","nonAsia"
26,"Laos","Laos","Laos","Laos","Asia",2,"Southeast Asia","Southeast Asia","Southeast Asia","LAK","Kip","₭","Asia"
