ID_FirmCate,Firm_MainCate,Firm_SubCate_Lv1,Firm_SubCate_Lv2,Display Firm_MainCate in APER,Display Firm_SubCate_Lv1 in APER,Ranking of SubCate_Lv1 in MsAccess,Display Firm_MainCate in Databank,Ranking of Firm_MainCate in Databank,Display Firm_SubCate_Lv1 in Databank,Ranking of Firm_SubCate_Lv1 in Databank,Note_internal,Example
1,"Academic Institution / Endowment & Foundation","Endowment & Foundation (non-University)",,"Academic Institution / Endowment & Foundation","Endowment & Foundation (non-University)",1001,"Academic Institution / Endowment & Foundation",,"Endowment & Foundation (non-University)",,,
2,"Academic Institution / Endowment & Foundation","University Endowment / Academic Institution",,"Academic Institution / Endowment & Foundation","University Endowment / Academic Institution",1002,"Academic Institution / Endowment & Foundation",,"University Endowment / Academic Institution",,,
3,"Accelerator / Incubator / Entrepreneurship Program","Accelerator / Incubator",,"Accelerator / Incubator / Entrepreneurship Program","Accelerator / Incubator",1101,"Accelerator / Incubator / Entrepreneurship Program",,"Accelerator / Incubator",,,
4,"Accelerator / Incubator / Entrepreneurship Program","Entrepreneurship Program",,"Accelerator / Incubator / Entrepreneurship Program","Entrepreneurship Program",1102,"Accelerator / Incubator / Entrepreneurship Program",,"Entrepreneurship Program",,,
5,"Banking & Financial Institution / Pension","Asset Manager / Wealth Manager (Includes Private Wealth Management) (manages 3rd party money)",,"Banking & Financial Institution / Pension","Asset Manager / Wealth Manager",1201,"Banking & Financial Institution / Pension",,"Asset Manager / Wealth Manager",,,
6,"Banking & Financial Institution / Pension","Bank",,"Banking & Financial Institution / Pension","Bank",1202,"Banking & Financial Institution / Pension",,"Bank",,,
7,"Banking & Financial Institution / Pension","Insurance company",,"Banking & Financial Institution / Pension","Insurance company",1203,"Banking & Financial Institution / Pension",,"Insurance company",,,
8,"Banking & Financial Institution / Pension","Pension",,"Banking & Financial Institution / Pension","Pension",1204,"Banking & Financial Institution / Pension",,"Pension",,,
9,"Banking & Financial Institution / Pension","Other Financial Institution (excluding Bank, Insurance, Pension, Asset Manager)",,"Banking & Financial Institution / Pension","Other Financial Institution",1299,"Banking & Financial Institution / Pension",,"Other Financial Institution",,,
10,"Corporate Venture","Corporate Venture",,"Corporate Venture","Corporate Venture",1301,"Corporate Venture",,"Corporate Venture",,,
11,"Corporation","Corporation",,"Corporation","Corporation",1401,"Corporation",,"Corporation",,,
12,"Family Office","Family Office",,"Family Office","Family Office",1501,"Family Office",,"Family Office",,,
13,"Financial Services Provider (non-investment)","Accounting Firm",,"Financial Services Provider","Accounting Firm",1601,"Financial Services Provider",,"Accounting Firm",,,
14,"Financial Services Provider (non-investment)","Consulting Firm / Advisors",,"Financial Services Provider","Consulting Firm / Advisors",1602,"Financial Services Provider",,"Consulting Firm / Advisors",,,
15,"Financial Services Provider (non-investment)","Law firm",,"Financial Services Provider","Law firm",1603,"Financial Services Provider",,"Law firm",,,
16,"Financial Services Provider (non-investment)","Placement Agent",,"Financial Services Provider","Placement Agent",1604,"Financial Services Provider",,"Placement Agent",,,
17,"Financial Services Provider (non-investment)","Other Financial Services Company",,"Financial Services Provider","Other Financial Services Company",1699,"Financial Services Provider",,"Other Financial Services Company",,,
18,"Government Agency","Government Agency",,"Government Agency","Government Agency",1701,"Government Agency",,"Government Agency",,,
19,"Hedge Fund","Hedge Fund",,"Hedge Fund","Hedge Fund",1801,"Hedge Fund",,"Hedge Fund",,,
20,"Individual","Individual (third party)",,"Individuals","Individuals",1901,"Individuals",,"Individuals",,,
