ID_Industry,Macro Industry,Industry,Sub-Industry,Ranking of Sub-Industry in MsAccess,Displayed Industry in Databank Level 1,Ranking of Industry in Databank level 1,Displayed Industry in Databank Level 2,Ranking of Industry in Databank level 2,(Old 20110803) Macro Industry,(Old 20110803) Industry,(Old 20110803) Sub-Industry,show_in_msaccess_menu_investmentdb,show_in_msaccess_menu_divestdb
1,"Industrial Manufacturing Goods","0100 - Aerospace & Defence","0101 - Aerospace",60101,"Industrial Manufacturing Goods",6,"Aerospace & Defence",1,"Industrial Manufacturing Goods","A. Aerospace & Defence","A.1 Aerospace",1,0
2,"Industrial Manufacturing Goods","0100 - Aerospace & Defence","0102 - Defence",60102,"Industrial Manufacturing Goods",6,"Aerospace & Defence",1,"Industrial Manufacturing Goods","A. Aerospace & Defence","A.2 Defence",1,0
3,"Industrial Manufacturing Goods","0100 - Aerospace & Defence","0180 - Others",60180,"Industrial Manufacturing Goods",6,"Aerospace & Defence",1,"Industrial Manufacturing Goods","A. Aerospace & Defence","A.3 Others",1,0
4,"Industrial Manufacturing Goods","0200 - Automobiles","0201 - Automobiles",60201,"Industrial Manufacturing Goods",6,"Automobiles",2,"Industrial Manufacturing Goods","B. Automobiles","B.1 Automobiles",1,0
5,"Industrial Manufacturing Goods","0200 - Automobiles","0202 - Auto Parts",60202,"Industrial Manufacturing Goods",6,"Automobiles",2,"Industrial Manufacturing Goods","B. Automobiles","B.2 Auto Parts",1,0
6,"Industrial Manufacturing Goods","0200 - Automobiles","0203 - Tyres & Rubber",60203,"Industrial Manufacturing Goods",6,"Automobiles",2,"Industrial Manufacturing Goods","B. Automobiles","B.3 Tyres & Rubber",1,0
7,"Industrial Manufacturing Goods","0200 - Automobiles","0280 - Others",60280,"Industrial Manufacturing Goods",6,"Automobiles",2,"Industrial Manufacturing Goods","B. Automobiles","B.4 Others",1,0
8,"Banking & Finance","0300 - Banking/Investment & Finance","0301 - Banks",10101,"Banking & Finance",1,"Banking/Investment & Finance",1,"Banking and Finance","C. Banking/Investment And Finance","C.1 Banks",1,0
9,"Banking & Finance","0300 - Banking/Investment & Finance","0302 - Asset Managers",10102,"Banking & Finance",1,"Banking/Investment & Finance",1,"Banking and Finance","C. Banking/Investment And Finance","C.2 Asset Managers",1,0
10,"Banking & Finance","0300 - Banking/Investment & Finance","0303 - Consumer Finance",10103,"Banking & Finance",1,"Banking/Investment & Finance",1,"Banking and Finance","C. Banking/Investment And Finance","C.3 Consumer Finance",1,0
11,"Banking & Finance","0300 - Banking/Investment & Finance","0304 - Investment Banks",10104,"Banking & Finance",1,"Banking/Investment & Finance",1,"Banking and Finance","C. Banking/Investment And Finance","C.4 Investment Banks",1,0
12,"Banking & Finance","0300 - Banking/Investment & Finance","0305 - Mortgage Finance",10105,"Banking & Finance",1,"Banking/Investment & Finance",1,"Banking and Finance","C. Banking/Investment And Finance","C.5 Mortgage Finance",1,0
13,"Banking & Finance","0300 - Banking/Investment & Finance","0306 - Currency Funds",10106,"Banking & Finance",1,"Banking/Investment & Finance",1,"Banking and Finance","C. Banking/Investment And Finance","C.6 Currency Funds",1,0
14,"Banking & Finance","0300 - Banking/Investment & Finance","0307 - Securities/Investment Companies",10107,"Banking & Finance",1,"Banking/Investment & Finance",1,"Banking and Finance","C. Banking/Investment And Finance","C.7 Securities/Investment Companies",1,0
15,"Banking & Finance","0300 - Banking/Investment & Finance","0308 - Venture & Development Capital",10108,"Banking & Finance",1,"Banking/Investment & Finance",1,"Banking and Finance","C. Banking/Investment And Finance","C.8 Venture & Development Capital",1,0
16,"Banking & Finance","0300 - Banking/Investment & Finance","0380 - Others",10180,"Banking & Finance",1,"Banking/Investment & Finance",1,"Banking and Finance","C. Banking/Investment And Finance","C.9 Others",1,0
17,"Food & Beverage","0400 - Food & Beverage","0401 - Beverages & Softdrink",40101,"Food & Beverages",4,"Food & Beverages",1,"Food and Beverage","D. Food and Beverages","D.1 Beverages & Softdrink",1,0
18,"Food & Beverage","0400 - Food & Beverage","0402 - Agricultural/Marine Products",40102,"Food & Beverages",4,"Food & Beverages",1,"Food and Beverage","D. Food and Beverages","D.2 Agricultural/Marine Products",1,0
19,"Food & Beverage","0400 - Food & Beverage","0403 - Food Processors",40103,"Food & Beverages",4,"Food & Beverages",1,"Food and Beverage","D. Food and Beverages","D.3 Food Processors",1,0
20,"Food & Beverage","0400 - Food & Beverage","0480 - Others",40180,"Food & Beverages",4,"Food & Beverages",1,"Food and Beverage","D. Food and Beverages","D.4 Others",1,0
21,"Industrial Manufacturing Goods","0500 - Chemicals","0501 - Chemicals",60301,"Industrial Manufacturing Goods",6,"Chemicals",3,"Industrial Manufacturing Goods","E. Chemicals","E.1 Chemicals",1,0
