ID_InvestFocusCate,InvFocus Type,InvFocusMainCate,InvFocusSubCate_Lv1,InvFocusSubCate_Lv2,Displayed_InvFocusMainCate,Displayed_InvFocusSubCate_Lv1,Displayed_InvFocusSubCate_Lv2,Ranking of InvFocusSubCate_Lv1 in MsAccess,Ranking of InvFocusSubCate Databank,Ranking of InvFocusSubCate_Lv1 in Databank,InvFocusCate_EnterDate,Note_internal,Example
1,"Theme","ESG / SRI / Impact Investment","ESG (General)",,,,,101001,,,,,
2,"Theme","ESG / SRI / Impact Investment","Enviromental (ESG)",,,,,101002,,,,,
3,"Theme","ESG / SRI / Impact Investment","Social (ESG)",,,,,101003,,,,,
4,"Theme","ESG / SRI / Impact Investment","Governance (ESG)",,,,,101004,,,,,
5,"Sector (Major)",,"Banking & Finance",,,,,102001,,,,,
6,"Sector (Major)",,"Consumer Goods & Services",,,,,102002,,,,,
7,"Sector (Major)",,"Energy",,,,,102003,,,,,
8,"Sector (Major)",,"Healthcare",,,,,102004,,,,,
9,"Sector (Major)",,"Information Technology",,,,,102005,,,,,
10,"Sector (Major)",,"Infrastructure",,,,,102006,,,,,
11,"Sector (Major)",,"Logistics",,,,,102007,,,,,
12,"Sector (Major)",,"Real Estate",,,,,102008,,,,,
13,"Sector",,"Crypto / Blockchain",,,,,103001,,,,,
14,"Sector",,"EV related industry",,,,,103002,,,,,
15,"Sector",,"New Energy / Clean Energy",,,,,103003,,,,,
