ID_Year,Year_internal use,Ranking of Year in MsAccess,Displayed Year of Invest in Databank,Year_numeric_for_calculation
1,"Unknown year",1,"N/A",
2,"Pending (To be follow up)",2,"N/A",
3,"Stop follow up",3,"N/A",
4,"Failed deal (for old record only)",9,"N/A",
5,"Delete record",11,"N/A",
6,"1980",281,"1980",1980
7,"1981",282,"1981",1981
8,"1982",283,"1982",1982
9,"1983",284,"1983",1983
10,"1984",285,"1984",1984
11,"1985",286,"1985",1985
12,"1986",287,"1986",1986
13,"1987",288,"1987",1987
14,"1988",289,"1988",1988
15,"1989",290,"1989",1989
16,"1990",291,"1990",1990
17,"1991",292,"1991",1991
18,"1992",293,"1992",1992
19,"1993",294,"1993",1993
20,"1994",295,"1994",1994
21,"1995",296,"1995",1995
22,"1996",297,"1996",1996
23,"1997",298,"1997",1997
24,"1998",299,"1998",1998
25,"1999",300,"1999",1999
26,"2000",301,"2000",2000
27,"2001",302,"2001",2001
28,"2002",303,"2002",2002
29,"2003",304,"2003",2003
30,"2004",305,"2004",2004
31,"2005",306,"2005",2005
32,"2006",307,"2006",2006
33,"2007",308,"2007",2007
34,"2008",309,"2008",2008
35,"2009",310,"2009",2009
36,"2010",311,"2010",2010
37,"2011",312,"2011",2011
38,"2012",313,"2012",2012
39,"2013",314,"2013",2013
40,"2014",315,"2014",2014
41,"2015",316,"2015",2015
42,"2016",317,"2016",2016
43,"2017",318,"2017",2017
44,"2018",319,"2018",2018
45,"2019",320,"2019",2019
46,"2020",321,"2020",2020
47,"1800",101,"1800",1800
48,"1801",102,"1801",1801
49,"1802",103,"1802",1802
50,"1803",104,"1803",1803
51,"1804",105,"1804",1804
52,"1805",106,"1805",1805
53,"1806",107,"1806",1806
54,"1807",108,"1807",1807
55,"1808",109,"1808",1808
56,"1809",110,"1809",1809
57,"1810",111,"1810",1810
58,"1811",112,"1811",1811
59,"1812",113,"1812",1812
60,"1813",114,"1813",1813
61,"1814",115,"1814",1814
62,"1815",116,"1815",1815
63,"1816",117,"1816",1816
64,"1817",118,"1817",1817
65,"1818",119,"1818",1818
66,"1819",120,"1819",1819
67,"1820",121,"1820",1820
68,"1821",122,"1821",1821
69,"1822",123,"1822",1822
70,"1823",124,"1823",1823
71,"1824",125,"1824",1824
72,"1825",126,"1825",1825
73,"1826",127,"1826",1826
74,"1827",128,"1827",1827
75,"1828",129,"1828",1828
76,"1829",130,"1829",1829
77,"1830",131,"1830",1830
78,"1831",132,"1831",1831
79,"1832",133,"1832",1832
80,"1833",134,"1833",1833
81,"1834",135,"1834",1834
82,"1835",136,"1835",1835
83,"1836",137,"1836",1836
84,"1837",138,"1837",1837
85,"1838",139,"1838",1838
86,"1839",140,"1839",1839
87,"1840",141,"1840",1840
88,"1841",142,"1841",1841
89,"1842",143,"1842",1842
90,"1843",144,"1843",1843
91,"1844",145,"1844",1844
92,"1845",146,"1845",1845
93,"1846",147,"1846",1846
94,"1847",148,"1847",1847
95,"1848",149,"1848",1848
96,"1849",150,"1849",1849
97,"1850",151,"1850",1850
98,"1851",152,"1851",1851
99,"1852",153,"1852",1852
100,"1853",154,"1853",1853
101,"1854",155,"1854",1854
102,"1855",156,"1855",1855
103,"1856",157,"1856",1856
104,"1857",158,"1857",1857
105,"1858",159,"1858",1858
106,"1859",160,"1859",1859
107,"1860",161,"1860",1860
108,"1861",162,"1861",1861
109,"1862",163,"1862",1862
110,"1863",164,"1863",1863
111,"1864",165,"1864",1864
112,"1865",166,"1865",1865
113,"1866",167,"1866",1866
114,"1867",168,"1867",1867
115,"1868",169,"1868",1868
116,"1869",170,"1869",1869
117,"1870",171,"1870",1870
118,"1871",172,"1871",1871
119,"1872",173,"1872",1872
120,"1873",174,"1873",1873
121,"1874",175,"1874",1874
122,"1875",176,"1875",1875
123,"1876",177,"1876",1876
124,"1877",178,"1877",1877
125,"1878",179,"1878",1878
126,"1879",180,"1879",1879
127,"1880",181,"1880",1880
128,"1881",182,"1881",1881
129,"1882",183,"1882",1882
130,"1883",184,"1883",1883
131,"1884",185,"1884",1884
132,"1885",186,"1885",1885
133,"1886",187,"1886",1886
134,"1887",188,"1887",1887
135,"1888",189,"1888",1888
136,"1889",190,"1889",1889
137,"1890",191,"1890",1890
138,"1891",192,"1891",1891
139,"1892",193,"1892",1892
140,"1893",194,"1893",1893
141,"1894",195,"1894",1894
142,"1895",196,"1895",1895
143,"1896",197,"1896",1896
144,"1897",198,"1897",1897
145,"1898",199,"1898",1898
146,"1899",200,"1899",1899
147,"1900",201,"1900",1900
148,"1901",202,"1901",1901
149,"1902",203,"1902",1902
150,"1903",204,"1903",1903
151,"1904",205,"1904",1904
152,"1905",206,"1905",1905
153,"1906",207,"1906",1906
154,"1907",208,"1907",1907
155,"1908",209,"1908",1908
156,"1909",210,"1909",1909
157,"1910",211,"1910",1910
158,"1911",212,"1911",1911
159,"1912",213,"1912",1912
160,"1913",214,"1913",1913
161,"1914",215,"1914",1914
162,"1915",216,"1915",1915
163,"1916",217,"1916",1916
164,"1917",218,"1917",1917
