ID_Support_Docu,Link to Doculibrary ID,Page Num Doculibrary Record,Remarks_Support_Docu,Obsolete,Link to Investor ID (Firm),Link to Investee ID,Link to InvestRD ID,Link to Fund ID,Link to FundRD ID,Link to Divest ID,Link to Valuation ID,Date entered_Support_Docu,LastModified_Support_Docu,UpdatedBy_Support_Doc
99,76,,,0,2151,,,,,,,"10/22/21 00:00:00","10/22/21 16:36:34","atsai"
105,79,,,0,2151,,,,,,,"10/25/21 00:00:00","10/25/21 09:05:51","atsai"
262,210,,,0,,,40397,,,,,"11/02/21 00:00:00","11/02/21 18:44:12","hlo"
263,211,,,0,,,40397,,,,,"11/02/21 00:00:00","11/02/21 18:44:16","hlo"
266,214,,,0,2243,,,,,,,"11/03/21 00:00:00","11/03/21 10:07:39","atsai"
267,215,,,0,2243,,,,,,,"11/03/21 00:00:00","11/03/21 10:07:45","atsai"
268,215,,,0,1693,,,,,,,"11/03/21 00:00:00","11/03/21 10:08:05","atsai"
282,220,,,0,3163,,,,,,,"11/03/21 00:00:00","11/03/21 11:11:52","atsai"
287,221,,,0,1969,,,,,,,"11/03/21 00:00:00","11/03/21 12:01:49","atsai"
294,223,,,0,1318,,,,,,,"11/03/21 00:00:00","11/03/21 12:33:26","atsai"
295,223,,,0,2243,,,,,,,"11/03/21 00:00:00","11/03/21 14:18:48","atsai"
389,298,,,0,1782,,,,,,,"11/05/21 00:00:00","11/05/21 17:27:23","atsai"
431,331,,,0,2243,,,,,,,"11/08/21 00:00:00","11/08/21 13:24:42","atsai"
449,337,,,0,2001,,,,,,,"11/08/21 00:00:00","11/08/21 15:41:03","atsai"
487,357,,,0,2946,,,,,,,"11/09/21 00:00:00","11/09/21 11:52:27","atsai"
1042,919,,,0,,,40948,,,,,"12/03/21 00:00:00","12/03/21 15:01:49","rtang"
1043,920,,,0,,,40949,,,,,"12/03/21 00:00:00","12/03/21 15:09:08","damongwi"
1343,1201,,,0,1631,,,,,,,"12/20/21 00:00:00","12/20/21 10:04:01","atsai"
1401,1260,,"newspaper",0,1817,,,,,,,"12/23/21 00:00:00","12/23/21 11:12:54","atsai"
1445,,,,0,,,37979,,,,,"12/24/21 00:00:00","12/24/21 18:37:30","damongwi"
1446,1304,,,0,,,41223,,,,,"12/24/21 00:00:00","12/24/21 18:37:41","damongwi"
1519,1375,,,0,1511,,,,,,,"12/31/21 00:00:00","12/31/21 14:53:38","hlo"
1602,1448,,,0,,,14595,,,,,"01/04/22 00:00:00","01/04/22 17:27:43","damongwi"
1640,1489,,,0,,,37546,,,,,"01/06/22 00:00:00","01/06/22 14:27:35","hlo"
1770,1612,,"mezzanine financing",0,,,39283,,,,,"01/20/22 00:00:00","01/20/22 10:00:23","blam"
1822,1663,,,0,,,40487,,,,,"01/25/22 00:00:00","01/25/22 15:40:45","damongwi"
2214,2030,,,0,,,41755,,,,,"02/19/22 00:00:00","02/19/22 14:01:36","eugeniang"
2215,2031,,,0,,,41755,,,,,"02/19/22 00:00:00","02/19/22 14:01:42","eugeniang"
2578,2346,,,0,1232,,,,,,,"03/08/22 00:00:00","03/08/22 14:44:08","atsai"
2990,2715,,,0,1286,,,,,,,"03/29/22 00:00:00","03/29/22 12:56:49","atsai"
2998,2721,,,0,,,35306,,,,,"03/29/22 00:00:00","03/29/22 16:17:36","rtang"
