ID,Identification,Company,Company (Chinese),Displayed Investee Name (English),Link Investor ID (Investee for InvesteeRcd),Displayed Investee Name verification status (20110801),Address 1,Address 2,City,State / Province,Zip / Postal Code,(Old 20110803) Country,Link_Country ID (Investee Location),Registered Address,Address (in Local Language exclude English),E-mail Address,Web site,Tel1_Country_Code,Tel1,Fax1_Country_Code,Fax1,Listing Status,Stock Code,Listed Stock Exchange,Listed Country,Listed Date,Delisted,Delisted Date,Link_Industry ID,Link_Tech_cate_ID_investee,Link_artificial_intelligence_cate_ID_investee,Link_semiconductor_cate_ID_investee,Link_battery_cate_ID_investee,Link_electric_vehicle_cate_ID_investee,Link_real_asset_cate_ID_investee,Link_healthcare_cate_ID_investee,Link_SRI Focus ID,Remarks,Link_Year ID (Investee established year),Link_Month ID (Investee established month),Background,APER-Include in Stock Watch?,Controlling Stake?,Internet related?,Ecommerce,(Old 20111122) Internet related,Infrastructure Deal?,(Old 20111122) Infrastructure Deal,Filing Section,First Day Closing Price,APER-Include in Stock Watch,Document Scanning Date,Date entered_Firm,LastModified_Firm,UpdatedBy_Firm,(Old moved 20110421) Real Estate Deal?
606,"261","Vanda Computer and Equipment Co Ltd",,"Vanda Computer and Equipment Co Ltd",,"To be checked by RT","Unit 1107-1111, 11/F, Two Harbourtfront","22 Tak Fung Street, Hunghom","Kowloon",,,"HONG KONG",17,,,"info@vandagroup.com","www.vandagroup.com","852","2197 2888","852","2197 2333","Listed","0757.HK",,,,0,,58,,,,,,,,,"Hutchison and DBS convert bonds into equity in 200307. conversion price ammended to HK$0.3 from HK$0.85. Upon conversion Hutchison holds a 43% stake in Vanda, while DBS holds a 29.6% stake
Convertible Debt",,,"Founded in 1982, Vanda Systems and Communications Holdings Limited is a listed company of the Stock Exchange of Hong Kong since 1995 (""Vanda"", stock code SEHK757). Vanda is a leading information technology solutions provider primarily engaged in the business of systems infrastructure and application solutions services. 

Headquartered in Hong Kong, Vanda has a strong presence in Mainland China, Hong Kong, Macau and Southeast Asian countries including Singapore, Malaysia and the Philippines. In Mainland China, Vanda has 8 offices located in key cities. Vanda is the market leader in China in the provision of systems integration and software applications services in the banking and finance sector. The Group has a client list of over 100 banking institutions. In Southeast Asia, Vanda has a reseller network of over 300 companies.

Vanda is one of the largest computer services providers in Asia and is one of IBM's largest business partners in Asia. The Group's diverse client base includes major banks, financial institutions, posts and telecommunications companies, utility companies and government departments.",0,1,0,0,0,0,0,"Listed Co",,,,,"08/22/16 10:44:22","vip",0
2197,,"Virtuos Holdings Pte Ltd","維塔士","Virtuos Holdings Pte Ltd",,"To be checked by RT","1 Fusionopolis Way, Connexis, #05-10",,,,"138632","PEOPLE'S REPUBLIC OF CHINA",45,,,"info@virtuosgames.com.","www.virtuosgames.com","86 21","5258 3300","86 21","6464 2322","Unlisted",,,,,0,,66,14,,,,,,,,"Remarks for ID 39775 - KN request
Capital raising from 3D Capital Partners
https://www.lincolninternational.com/transactions/virtuos-holdings-raised-finding-from-entheos-and-leitmotiv-private-equity/
http://leitmotiv.hk/ : p.11 of this presentation you can see Virtuous",30,19,"Virtuos is a leading content production company specializing in video game development and 3D art production. With operations across Asia, North America, and Europe, we are home to over 2,300 full-time professionals.

Virtuos is on a mission to shape the future of game creation, by sourcing the brightest global talent in art, engineering and game design, equipping them with industry-leading technologies, tools and technology, and empowering future game creators to collaborate with the best game companies globally.",0,0,0,0,0,0,0,,,,,"07/07/06 16:17:10","10/07/21 09:51:41","rtang",0
3695,,"AAG Energy Holdings Ltd (formerly Asian American Gas, Inc. (AAGI))","亞美能源控股有限公司 (亞美大陸煤層氣有限公司)","AAG Energy Holdings Ltd (formerly Asian American Gas, Inc. (AAGI))",,"Updated by RT","1701,17/F,Tower A,Landmark Office Building, 8 North Dongsanhuan Road Chao Yang District,",,"Beijing",,,"PEOPLE'S REPUBLIC OF CHINA",38,,,"info@asianamericangas.com","http://www.asianamericangas.com","86 10","6590-0988","86 10","6590-6960","Private-to-public","2686.HK","Stock Exchange of Hong Kong","Hong Kong","20150623",0,,88,,,,,,,,2,"AAGI formed China CBM Investment Holding Limited through a management buyout",30,14,"Asian American Gas Inc. (AAGI) is a young, energetic and fast-growing American company primarily engaged in the exploration, development and production of coal bed methane (CBM) in China.",0,0,0,0,0,0,0,,"2.78",,,"03/13/08 17:02:34","09/30/16 12:23:11","vip",0
2050,,"Hexaware Technologies Ltd",,"Hexaware Technologies Ltd",,"To be checked by RT","Hexaware Towers, 51/3, G.N Chetty Road,",,"T.Nagar","Chennai","600 017","INDIA",18,,,,"www.hexaware.com","91 44","4200 1600","91 44","4204 4444","Listed","532129.BO",,,,1,"20201102",117,,,,,,,,,"1st: 10.57m shares at 142.1Rupee each and 1.056m convertible preference shares at 1420.55 rupees each
2nd: During Jul - Sep quarter '07, ChrysCapital acquires 6.05 m shares (4.21%).  Avg. price for quarter is Rs. 132.24/-
3rd: two tranches -  
(1) ChrysCapital purchases 6.39 m shares (4.45%) for Rs.347.16 m
(2) ChrysCapital purchases 1.87 m shares (1.30%) for Rs.93.96 m
4th: Baring Asia is acquiring 41.8% stake from promoters and General Atlantic. Also, there is a open offer to acquire additional 26% stake. Depending on whether Baring has acquired 50% or more, the price paid to promoters and General Atlantic will be different. (135 rupee/share if successful 126 rupee/share otherwise) 
Update: 
In August and September,Baring acquired around 8.76% in open market for US$51.3 million. 
In October, the transaction with General Atlantic and promoter completed and acquired 41.47% stake. Since Baring already took control, it paid a price of 135 rupee/share, aggregate to 16.79 billion rupees (US$272.1 million using exchang rate of Rs61.72/USD) to General Atlantic and promoter. 
In Nov, the open offer closed. Baring acquired an additional 20.09% stake for 8.17 billion rupees (US$131.6 million). Post Closure of tenedering period, Baring acquried an 0.9 million shares (0.3% stake) for 109.0 million rupees (US$1.75 million) (or roughly 114.59 million rupees based on the calculation of the release on Newspapers in Nov 2013).
Together, Baring invested INR(3.36 bn + 16.79 bn + 8.17 bn + 0.1146 bn) = INR28,444.832 bn

5th: 
On 5 Jun 2020, Baring proposes a privatization proposal by acquring 112,065,731 or 37.6% remaining equity, at INR285 per share, through open offer.  Price reaised to INR475 apiece in Sep 2020.

BPEA successfully get 87,286,523 shares @INR475 apiece through TOB ended Sep 2020. Assume BPEA will be able to get the remaining shares (estimated to be 26,535,206 shares) in later date.

Deal Size estimation:
- Sep 2020: Shares bought through TOB: 87,286,523 shares x INR475 = INR 41,461,098,425.00 
- Remaining Shares to be acquired: 26,535,206 shares x INR475 =  INR12,604,222,894",,,"Hexaware is a global provider of IT and Process outsourcing services. We focus exclusively on maximizing client returns from outsourcing and off-shoring. We have extensive experience in managing large IT applications in real time as well as in providing high value services around packaged enterprise applications such as SAP and PeopleSoft. Our experience in the business process outsourcing arena fully complements and strengthens our service spectrum and allows us to operate as an enterprise-class solution delivery company. Our solutions aim to provide high value by optimising cost of ownership of technology investments for customers.

Hexaware has a client base comprising several Global 1000 organizations. Our commitment is to provide solutions that translate into tangible business outcomes for our customers. Our artner-in-business?/span> approach generates high business value for customers and rich dividends to Hexaware in the form of a continual stream of repeat business. Hexaware domain capability expertise and reduced learning curves enables significant compression in time-to-value deliverables. Our customer-centric philosophy is further strengthened by a robust Key Account Management process to find more ways to delight our key customers and grow market share.

The company's onsite/offshore delivery model provides significant cost savings. Our development centers are assessed at SEI CMMI-Level 5, and are also ISO 9001:2000 and TickIT certified. These help us to continually provide high value, high quality deliverables to our clients. We have consistently delivered to client expectations and have established long lasting relationships with them.

Hexaware's global operations are located in North America, Europe and Asia Pacific.",0,0,0,0,0,0,0,,,,,,"02/11/21 14:18:04","jma",0
2457,,"Hsu Fu Chi International Ltd (Formerly Hsu Fu Chi Holdings)","徐福記國際集團","Hsu Fu Chi International Ltd (Formerly Hsu Fu Chi Holdings)",,"Updated by other person","Zhouwu Industrial District",,"Dongcheng","Dongguan","523118","PEOPLE'S REPUBLIC OF CHINA",38,,,,"www.hsufuchifoods.com","86 769","2225 9888","86 769","2226 4864","Private-to-public","HSUFUCHI.SGX/ AS5.SI","Singapore Stock Exchange","Singapore","20061201",0,,20,,,,,,,,,,,,"Hsu Fu Chi is a leading confectionary company in China and has been recognized as the top selling candy brand in China for 11 consecutive years since 1998.",0,0,0,0,0,0,0,,"1.06","Dead",,"04/12/06 11:54:59","12/08/11 00:00:00",,0
2423,,"K.S. Oils Ltd",,"K.S. Oils Ltd",,"To be checked by RT","Jiwajiganj, Morena - 476001 (MP) India",,,,"476001 (MP)","INDIA",18,,,"mail@ksoils.com","www.ksoils.com","91","7532-300000","91","7532-405060","Listed","526209.BO",,,"25-Jun-01",0,,20,,,,,,,,,"1st :Equity shares: 3273366 shares @ 180 rupees each = INR589.21m =US$13.22m.
Warrants=1698853 @180 rupees each =INR305.79m=US$6.86m.

2nd: Baring acquired 2,147,971 equity shares at Rs 419 per share.

3rd: NSR invested Rs. 135 crores for approximate 6.49% stake, existing investor  Baring Private Equity invested around Rs.25 crores. After the 3rd round financing, Baring 's shareholding is at 7%.",,,"K S Oils is a leading integrated edible oil company and is the trusted name behind renowned brands like Kalash, Double Sher, K S Gold, among others. Our consumer brands and products in mustard oil, soybean oil and palm oil are a household name with Indian consumers who use our oils regularly as a healthy cooking medium. A leader in mustard oil in India, K S Oils today enjoys 7% market share in the overall mustard oil segment with a dominant 25% market leadership in branded mustard oil. 

K S Oils is an Indian company with international footprint and global ambitions; a leader in the edible oil market in India, it has generated a turnover of over Rs. 2000 crores during the financial year 2007-08. The company has in the recent past successfully undertaken the growth strategy of capacity expansion, green field projects and acquisitions, thus creating an unchallenged competitive advantage. With secured raw material supply source, ‘near to customer’ sales points and a robust distribution and dealer network, K S Oils is creating market and brand leadership. 

The company believes in its vision of “Delivering Health & Prosperity”; with its deep understanding of the mustard oil sector, the company today reaches out to millions of Indian consumers. It is delivering healthy cooking medium to Indian homes - ensuring good health and mental & physical prosperity for the whole family.  K S Oils’ relentless focus on quality and hygiene has ensured that “purity” and “freshness” of mustard and other oils are preserved till it reaches the home of the consumers in every nook and corner of the country.

K S Oils is a strong family of near to 3000 employees spread over its 5 manufacturing plants, marketing offices and plantations in India, Malaysia, Indonesia and Singapore. With the company registering explosive growth, opportunity for fresh and experienced talent is immense with Indian and overseas opportunities. A strong leadership team comprising of the founders and senior industry professionals have laid a robust strategy and execution deliverables for the company, thus “Delivering Health & Prosperity” not only to consumers but every other stakeholder – employees, shareholders & investors, vendors & partners and society as a whole.

As one of India’s leading companies in the edible oil sector, K S Oils has deep understanding of agri-commodity and farmer community issues. Today, K S Oils is part of the Indian growth story – using the country’s inherent strength in agricultural resources and best managerial talent to serve millions of consumers in India and abroad. Creating an Indian MNC with international footprint of knowledge, leadership and value for its stakeholders across the globe!",0,0,0,0,0,0,0,,,,,"11/20/06 15:27:48","08/22/16 10:54:31","vip",0
218,"021129009360161170244C","Netease.com",,"Netease.com",,"To be checked by RT","SP Tower D, 26th Floor, Tsinghua Science Park Building","8, No. 1 Zhongguancun East Road, Haidian District","Beijing",,"100084","PEOPLE'S REPUBLIC OF CHINA",38,,,,"www.netease.com","86 10","8255 8163","86 10","8261 8163","Listed",,,,,0,,62,13,,,,,,,,,,,"NetEase is a leading Internet technology company based in China. The NetEase Web sites offer Chinese Internet users Chinese language-based online content, community and electronic commerce services. At the end of February, 2003, NetEase's average daily page views exceeded 349 million. As of February, 2003,NetEase Web sites had 107 million registered members and 55476 simultaneous chat room participants during peak hours.",0,0,1,0,0,0,0,"Listed Co",,"Dead",,,"07/05/07 00:00:00",,0
2240,,"Launch Tech Company Limited","深圳市元征科技股份有限公司","Launch Tech Co Ltd",,"To be checked by RT","Launch Industrial Park, North of Wuhe Avenue, Banxuegang","Longgang District","Shenzhen",,"518129","PEOPLE'S REPUBLIC OF CHINA",38,,,"iod.service@cnlaunch.com","www.cnlaunch.com","86 755","8452 8860","86 755","8452 8054","Listed","2488.HK","SEHK","Hong Kong",,0,,5,,,,,,,,,"the Company has conditionally agreed to issue the Bonds to AIF Capital as it may direct and the the latter has agreed to pay for the Bonds in accordance with the Subscription Agreement.",,,"Launch Tech Co Ltd was founded in 1992 and today is a global player in the automotive aftermarket providing a full range of equipment and service solutions for workshops. 
Launch was listed on the Hong Kong stock market in 2002 and has grown successfully through significant investment in world class R&D and manufacturing. Today the company employs over 300 qualified R&D engineers led by some experienced and distinguished specialists in the automotive sector. Through this in-house R&D and manufacturing capability Launch is able to deliver products that utilize smart technology and are user friendly, quality assured and best price. The company is accredited to the internationally recognized quality standards of ISO9000:2000 and QS9000.

Launch continues to extend its global reach and today has thirteen companies covering North America, Europe, Central and South America, the Middle East and North Africa, South Africa, China and the Asia Pacific region. Through these companies Launch is able to better serve its 400 distributors in 60 countries.",0,0,0,0,0,0,0,,,"Dead",,"07/27/06 17:09:27","10/07/11 00:00:00",,0
1422,,"Newpalm (China) Information Technology Co. Ltd.","掌中万維(中國)信息科技有限公司","Newpalm (China) Information Technology Co. Ltd.",,"To be checked by RT","Level 15, Tower C2, The Towers, Oriental Plaza","No. 1 East Chang An Ave.,
Dong Cheng District","Beijing",,"100738","PEOPLE'S REPUBLIC OF CHINA",38,,,,"www.newpalm.com","86 10","8518 4499","86 10","8518 4588","Unlisted",,,,,0,,121,,,,,,,,,,,,"Established in April of 2000, Newpalm is a leading short message service (SMS) in China with offices in Beijing, Tianjing and Nanjing. It has presence in 30 local markets and currently has service agreements signed with mobile network operators China Mobile and China Unicom in these markets.",0,0,0,0,1,0,0,,,"Dead",,,"09/07/10 00:00:00",,0
3977,,"Rithwik Projects Ltd",,"Rithwik Projects Ltd",,"To be checked by RT","Plot No. 91/B, Sagar Society, Road No.2, Banjara Hills,",,"Hyderabad","Andhra Pradesh","500 034","INDIA",18,,,"vp@rithwikprojects.com","www.rithwikprojects.com","91 40","23552555","91 40","23552444","Unlisted",,,,,0,,137,,,,,,,,,"1st (Mar 2008): amount is estimated by fund size: US$ 490 m * 0.75 / 15 = US$24.5 m",,,"Rithwik Projects Limited(RPL) is a leading Infrastructure development company Established in 1999 in Hyderabad, the capital Andhra Pradesh. RPL attained a splendid growth all through the first five years under the sterling leadership of the company’s chairman cm Ramesh.

RPL has shown exemplary development in projects like concrete dams spill ways, tunneling, formation of earth dams and bunds, canals, bridges, roads and buildings. The company reserved the privilege of working for and on behalf of the giant infrastructure majors such as Tehri Hydro Power Development Corporation, steel authority of India Limited, konkan railway corporation limited, and engineering projects india limited. 

RPL’s expertise, virtually in all areas of civil and engineering construction, is best reflecting in the execution of the following projects.

• Rs 350 crores dam spillway and Hydro electric power project at koteshwara puram, uttaranchal for the tehri Hydro development corporation, uttaranchal.

• Rs. 250-crores project for transportation of iron ore from kalta iron ore mines to sail in orissa state engaging an unprecedented workforce of 4000 people.

• Rs.175 crores project for construction of civil works including major bridges and allied works between km 30/000 to km. 50/400 of single bg line on katra laole station under usbrl project.

• Rs.150-crores project for construction of b.g. single line tunnel no.5 (bakkal tunnel) from km 43.040 to 48.940 on the katra-laole section of the udahampur srinagar-baramulla rail link. 

• Rs 80-crores owk reservoir complex in Andhra pradesh, and 

• Rs 22-crores project for construction of barrage across ponnai river near kalavagunta, chittoor district in Andhra pradesh.",0,0,0,0,0,1,1,,,,"09/21/17 00:00:00","05/15/08 17:03:54","09/21/17 16:45:35","atsai",0
